title,company,location,salary,skills
Executive Assistant,Incitec Pivot,"Capitol Hill, Saipan",$61K-$89K,Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations
Human Resources Manager,Keurig Dr Pepper,Noumea,$61K-$118K,HR policies and procedures Employee relations Recruitment Communication skills
Legal Secretary,Ceconomy AG (Formerly Metro AG),Phnom Penh,$61K-$89K,Legal research Document drafting Communication skills Legal software proficiency Attention to detail
Project Manager,W.R. Berkley,Phnom Penh,$64K-$107K,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)"
Customer Support Specialist,China Life Insurance,San Marino,$55K-$105K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Marketing Manager,Carvana,"Malabo (de jure),",$65K-$82K,Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration
Financial Advisor,Goldman Sachs Group,Conakry,$64K-$119K,Wealth management strategies Asset allocation Estate planning Tax management Client relationship management
Software Engineer,Dollar General,Caracas,$59K-$91K,"Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills"
Social Media Manager,UnitedHealth Group,Tokyo,$55K-$118K,Community engagement and moderation Online community-building strategies Content curation and creation Crisis management and conflict resolution Analytics and reporting
Data Engineer,Hero MotoCorp,Harare,$60K-$97K,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing"
Social Media Manager,CNOOC (China National Offshore Oil Corporation),Antananarivo,$55K-$81K,Social media marketing strategy development Content planning and creation Social media advertising and targeting Data-driven decision-making Social media trends and platform updates
Content Writer,Vulcan Materials,Bangui,$62K-$128K,Technical documentation Technical knowledge Writing skills Editing User manuals
Litigation Attorney,Ocado Group,Havana,$60K-$92K,Family law Divorce proceedings Child custody Mediation Legal counseling Court representation
Accountant,Booz Allen Hamilton Holding,Bratislava,$55K-$83K,Tax preparation Tax planning Tax regulations Accounting Tax software proficiency
Account Director,American Express,Torshavn,$55K-$120K,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills
Electrical Designer,Oil and Natural Gas Corporation (ONGC),City of Victoria,$59K-$97K,PCB design Electronics PCB layout software proficiency Circuit design Quality control
Chemical Analyst,Alibaba Health Information Technology,Hanoi,$64K-$82K,Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills
Investment Advisor,Packaging Corp. of America,Castries,$63K-$127K,Financial planning Investment knowledge Relationship management Communication skills Analytical skills
Family Nurse Practitioner,Telstra Corporation,Kampala,$57K-$130K,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology
Network Technician,VMware,Gaborone,$65K-$95K,Network security Cybersecurity Intrusion detection Security analysis Firewall management
Customer Success Manager,CF Industries Holdings,Paris,$65K-$85K,Onboarding process management New employee orientation Training and development HR policies and procedures Employee engagement strategies
Chemical Engineer,Great Wall Motors,Gaborone,$58K-$124K,Research and development processes Product innovation Prototype development Testing and experimentation Data analysis Collaboration with cross-functional teams Problem-solving Attention to detail Technical expertise Project management skills
Procurement Manager,Merck,Praia,$60K-$85K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Procurement Manager,American Family Insurance Group,BogotÃ¡,$56K-$127K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Structural Engineer,Sinochem Group,Kinshasa,$59K-$93K,Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management
Event Manager,PulteGroup,"Capitol Hill, Saipan",$57K-$88K,Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations
UX/UI Designer,APA,Saint John's,$60K-$128K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Systems Analyst,Jackson Financial,Podgorica,$63K-$98K,IT systems analysis Troubleshooting IT support and documentation
Litigation Attorney,The Coca-Cola Company,Hagatna,$64K-$114K,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing
Systems Engineer,Allianz SE,Sanaa,$56K-$106K,"Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability"
Legal Advisor,Expeditors International of Washington,Montevideo,$59K-$128K,In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling
Software Tester,PPL,Managua,$60K-$93K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
Project Coordinator,Pfizer,The City of Hamilton,$56K-$122K,Project planning and scheduling Budget management Risk assessment and mitigation Stakeholder communication Agile or Waterfall methodologies
Dental Hygienist,NGL Energy Partners,Accra,$63K-$81K,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education
Legal Advisor,Kotak Mahindra Bank,Belgrade,$65K-$86K,Corporate law Compliance Mergers and acquisitions Corporate governance Contract drafting Risk management Legal strategy Due diligence
Financial Analyst,Toll Brothers,Majuro,$62K-$127K,Financial analysis Investment evaluation Portfolio management Data analysis
Human Resources Manager,Deutsche Pfandbriefbank AG,Douglas,$60K-$126K,HR policies and procedures Employee relations Recruitment Communication skills
Project Manager,Target,Beirut,$65K-$90K,Project management Team leadership Risk management Budgeting Communication skills
Email Marketing Specialist,London Stock Exchange Group,Tripoli,$64K-$106K,"Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail"
Administrative Assistant,Eli Lilly,Podgorica,$59K-$124K,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)"
Legal Counsel,Thermo Fisher Scientific,Bucharest,$63K-$96K,Intellectual property law Trademark and patent law Copyright law IP portfolio management Litigation and dispute resolution
Speech Therapist,Huawei Technologies,Nicosia,$59K-$93K,Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills
Brand Manager,Quanta Services,Monrovia,$62K-$96K,"Marketing analytics Data analysis tools (e.g., Google Analytics, Adobe Analytics) Brand performance measurement Consumer behavior analysis Campaign effectiveness evaluation"
Marketing Coordinator,Alcoa,Yamoussoukro,$60K-$98K,Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency
Database Developer,V-Guard Industries,Lisbon,$62K-$113K,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems"
Research Analyst,"Etsy, Inc.",Dhaka,$56K-$109K,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy"
Front-End Engineer,J.M. Smucker,Seoul,$55K-$101K,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting"
Customer Service Representative,Linde plc,Tokyo,$60K-$101K,Live chat support Online customer communication Problem resolution
UX/UI Designer,Uber Technologies,Harare,$55K-$87K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Network Security Specialist,Coupang,Belmopan,$64K-$82K,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage"
Social Media Manager,Alibaba Group,"Washington, D.C.",$63K-$100K,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification"
Market Research Analyst,American Express,Addis Ababa,$56K-$116K,Market research methodologies Data collection and analysis Industry knowledge
Financial Controller,Osram Licht AG (Now part of ams AG),Gitega,$59K-$120K,"Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)"
Systems Administrator,Comcast,Singapore,$58K-$91K,"Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery"
Nurse Practitioner,Ford Motor Company,Luxembourg,$56K-$85K,Family medicine Health assessment Pediatric care Chronic disease management Patient education
Environmental Consultant,Comcast,Guatemala City,$64K-$118K,Environmental compliance Regulatory requirements Environmental impact assessments Reporting Environmental regulations Auditing
Landscape Architect,United Breweries (UB),Victoria,$62K-$124K,Environmental design principles Sustainability concepts CAD and design software
Tax Consultant,Steel Dynamics,Buenos Aires,$61K-$128K,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency
Procurement Manager,American Tower,Chisinau,$58K-$90K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Pharmaceutical Sales Representative,Persimmon plc,Sucre (de jure),$57K-$111K,Medical product knowledge Understanding of healthcare regulations Relationship building with healthcare professionals Sales forecasting and planning Medical sales techniques
Web Developer,State Street,Funafuti,$65K-$123K,Frontend and backend development Database integration Problem-solving API knowledge
Social Media Manager,Fiat Chrysler Automobiles N.V.,Sofia,$56K-$96K,Social media marketing strategy development Content planning and creation Social media advertising and targeting Data-driven decision-making Social media trends and platform updates
Legal Assistant,Netflix,Oslo,$62K-$112K,"Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency"
Back-End Developer,Jabil,Castries,$55K-$81K,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)"
Network Engineer,Coal India Limited,Wellington,$58K-$96K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Network Security Specialist,Andersons,Suva,$64K-$106K,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage"
Social Worker,Northern Trust,Tunis,$59K-$125K,School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification
Pharmaceutical Sales Representative,Charter Communications,Santiago,$59K-$81K,Sales techniques and strategies Relationship building CRM software usage Product knowledge Negotiation and closing skills
Family Nurse Practitioner,Markel,Charlotte Amalie,$61K-$94K,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology
UX/UI Designer,Regeneron Pharmaceuticals,Prague,$57K-$115K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Physician Assistant,Sonic Healthcare,Accra,$56K-$82K,Surgical procedures and techniques Operating room protocols Anesthesia management
Database Developer,Oneok,Caracas,$55K-$117K,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills
Speech Therapist,Citigroup,Niamey,$62K-$114K,Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills
Art Teacher,InterContinental Hotels Group,Ljubljana,$64K-$113K,Art instruction Classroom management Art techniques Lesson planning Student assessment
Procurement Manager,The Kraft Heinz Company,Maseru,$62K-$103K,Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles
Speech Therapist,Targa Resources,Antananarivo,$63K-$117K,Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills
Software Engineer,Keurig Dr Pepper,Valletta,$65K-$115K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Executive Assistant,China Eastern Airlines,Apia,$62K-$96K,Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations
Architectural Designer,Interpublic Group,Ankara,$56K-$104K,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management"
Technical Writer,Scottish Mortgage Investment Trust,Moscow,$63K-$125K,Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge
Physical Therapist,Robert Half International,Kampala,$63K-$110K,Orthopedic assessment and treatment Rehabilitation exercises Patient education
UX Researcher,IQVIA Holdings,Canberra,$57K-$106K,Usability evaluation User interface assessment Usability testing tools and techniques
Supply Chain Manager,Fidelity National Financial,Kabul,$61K-$114K,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency
UX/UI Designer,Dollar General,Manila,$57K-$90K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Graphic Designer,WEC Energy Group,Valletta,$60K-$86K,"Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills"
Digital Marketing Specialist,Cochlear Limited,London,$60K-$114K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
Nurse Practitioner,Qualcomm,Port of Spain,$58K-$97K,Family medicine Health assessment Pediatric care Chronic disease management Patient education
Account Director,Hargreaves Lansdown,Funafuti,$61K-$125K,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills
Art Director,Hargreaves Lansdown,Muscat,$57K-$120K,Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation
Investment Analyst,Royal Mail,Naypyidaw,$61K-$85K,Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization
Procurement Specialist,Magellan Financial Group,Stockholm,$58K-$126K,Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation
Financial Analyst,New Oriental Education & Technology Group,Pretoria,$59K-$127K,Financial planning Investment strategy Retirement planning Tax knowledge
QA Analyst,"Dunkin'Brands Group, Inc.","Capitol Hill, Saipan",$58K-$84K,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis
Family Lawyer,Ford Motor,Nuuk,$63K-$91K,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques
HR Manager,Bodycote,George Town,$62K-$107K,Training and development Performance management Learning programs Employee engagement Coaching and mentoring
Event Planner,Williams-Sonoma,Bishkek,$63K-$88K,Event planning Vendor coordination Budget management Marketing and promotion Logistics
Personal Assistant,"Etsy, Inc.",Paramaribo,$55K-$109K,Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality
Sales Representative,Pfizer Inc.,Philipsburg,$62K-$92K,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building"
Back-End Developer,Boeing,Saint George's,$60K-$85K,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)"
Customer Support Specialist,CMS Energy,Gaborone,$58K-$124K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Supply Chain Manager,NCR,Yaounde,$59K-$130K,Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management
Business Analyst,Dell Technologies,Torshavn,$63K-$95K,Business process analysis Requirement gathering Data analysis Communication skills
Back-End Developer,London Stock Exchange Group,Wellington,$55K-$117K,"Server-side programming languages (e.g., Java, Python) Database management API development"
Executive Assistant,Archer Daniels Midland,Damascus,$64K-$105K,Project management Communication Time management Organization Problem-solving
Data Engineer,"The Vanguard Group, Inc.",Ankara,$55K-$80K,"ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages"
Account Executive,Pfizer Inc.,Santo Domingo,$63K-$114K,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge
Physician Assistant,EOG Resources,Kathmandu,$64K-$113K,Emergency medical care Triage and assessment Trauma management
Litigation Attorney,Seek Limited,Ngerulmud,$63K-$82K,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing
Project Coordinator,Morgan Stanley,Roseau,$55K-$93K,Project planning and scheduling Budget management Risk assessment and mitigation Stakeholder communication Agile or Waterfall methodologies
Marketing Manager,Bed Bath & Beyond,Papeete,$61K-$119K,"Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)"
QA Analyst,Hargreaves Lansdown,Tehran,$64K-$107K,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis
Administrative Assistant,Erie Insurance Group,Jerusalem,$57K-$104K,"Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency"
HR Coordinator,Rio Tinto,Marigot,$61K-$99K,Training program coordination Training material development Learning management systems
UX/UI Designer,Uber Technologies,Nouakchott,$57K-$104K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Landscape Architect,U.S. Bancorp,Luanda,$59K-$121K,Landscape design Plant selection and care Hardscape design
Urban Planner,InterContinental Hotels Group,Budapest,$61K-$91K,Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement
Procurement Manager,WEC Energy Group,Porto-Novo,$63K-$83K,Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles
Social Media Manager,Torrent Pharmaceuticals,Ashgabat,$60K-$101K,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification"
Executive Assistant,BYD Company,Bern,$64K-$81K,Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality
Quality Assurance Analyst,Plains GP Holdings,San Marino,$62K-$125K,"Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing"
Marketing Specialist,Huntington Ingalls Industries,Brussels,$62K-$112K,Content strategy Content creation Blog management Content promotion SEO Analytics and reporting
Network Administrator,PVH,Porto-Novo,$56K-$82K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
Procurement Specialist,Hindustan Petroleum Corporation Limited (HPCL),Port-au-Prince,$62K-$105K,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management
Pharmaceutical Sales Representative,Hilton Worldwide Holdings,Honiara,$57K-$93K,Sales leadership Territory management Team management Sales data analysis Strategic planning and execution
Pharmaceutical Sales Representative,Raytheon Technologies,Ashgabat,$56K-$130K,Sales leadership Territory management Team management Sales data analysis Strategic planning and execution
Purchasing Agent,Computacenter,Kinshasa,$55K-$105K,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management
Software Architect,Cintas,Dakar,$57K-$121K,Enterprise architecture Business strategy alignment IT governance and compliance
Pediatrician,Devon Energy,Monaco,$61K-$86K,"Pediatric specialization Advanced pediatric care Pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) Pediatric diagnostics Pediatric treatment"
Marketing Coordinator,Wacker Chemie AG,Hagatna,$60K-$116K,Event planning and management Budgeting and financial management Vendor and sponsor relations Promotion and publicity Event logistics and coordination skills
Research Analyst,American Family Insurance Group,Prague,$57K-$87K,"Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail"
Office Manager,Westlake,Noumea,$57K-$87K,Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills
Pharmaceutical Sales Representative,Sirius XM Holdings Inc.,Zagreb,$62K-$85K,Medical product knowledge Understanding of healthcare regulations Relationship building with healthcare professionals Sales forecasting and planning Medical sales techniques
Quality Assurance Analyst,Iluka Resources,Victoria,$55K-$84K,"Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing"
Marketing Analyst,Adobe,Dhaka,$65K-$116K,Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge
Marketing Manager,KION Group AG,Pretoria,$64K-$128K,"Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)"
Aerospace Engineer,Axis Bank,Ouagadougou,$64K-$90K,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management
Software Tester,TAG Immobilien AG,Bissau,$57K-$124K,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management"
Executive Assistant,BAE Systems,Bratislava,$61K-$128K,Project management Communication Time management Organization Problem-solving
Architect,Goodyear Tire & Rubber,Yaren District (de facto),$62K-$112K,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design"
Data Analyst,Fox,Budapest,$59K-$121K,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)"
Mechanical Engineer,Procter & Gamble,Budapest,$65K-$114K,Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification
Civil Engineer,Eli Lilly,Seoul,$65K-$110K,Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management
Tax Consultant,Motorola Solutions,"Capitol Hill, Saipan",$56K-$95K,Business tax law knowledge Corporate tax planning Tax compliance for businesses Tax credits and incentives Tax strategy development Financial analysis IRS regulations Client relationship management Communication skills Tax software proficiency
Mechanical Designer,Oshkosh,Castries,$63K-$105K,"Product design principles Prototyping and wireframing User research User testing UI/UX design 3D modeling (if applicable) Collaboration Problem-solving Creativity Attention to detail Communication skills Software proficiency (e.g., Sketch, Adobe XD)"
Marketing Coordinator,TIAA,Belmopan,$57K-$102K,Event planning and management Budgeting and financial management Vendor and sponsor relations Promotion and publicity Event logistics and coordination skills
Research Analyst,Commonwealth Bank of Australia,Honiara,$63K-$113K,"Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail"
Family Nurse Practitioner,Celgene Corporation,Mbabane,$62K-$83K,Pediatric healthcare Pediatric assessment Pediatric treatment Patient education Pediatric pharmacology
Customer Success Manager,Fresenius SE & Co. KGaA,Riyadh,$59K-$86K,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge
Research Analyst,Taylor Morrison Home,Bern,$65K-$91K,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy"
IT Manager,C.H. Robinson Worldwide,Harare,$56K-$94K,Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems
HR Manager,Regions Financial,Naypyidaw,$60K-$114K,Employment law knowledge Compliance management Auditing skills Employee relations Communication skills
Marketing Coordinator,Goodman Group,Luxembourg,$58K-$122K,Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency
Systems Administrator,Commercial Metals,Bissau,$59K-$119K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
Investment Analyst,World Fuel Services,Jakarta,$57K-$121K,Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization
Human Resources Manager,Visa,Gaborone,$59K-$98K,Employee conflict resolution HR compliance Employee engagement Communication skills
Event Planner,Grafton Group,Mexico City,$61K-$119K,Event planning Vendor coordination Budget management Marketing and promotion Logistics
Structural Engineer,TAG Immobilien AG,Yamoussoukro,$55K-$117K,Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management
UX/UI Designer,Osram Licht AG (Now part of ams AG),Castries,$57K-$104K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
UX/UI Designer,Deutsche Pfandbriefbank AG,Belmopan,$56K-$85K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Dental Hygienist,Qurate Retail,Monrovia,$60K-$104K,Dental public health principles Community outreach and education Dental health program planning Epidemiology knowledge Public health regulations knowledge
Business Development Manager,Dixons Carphone,Douglas,$57K-$122K,Market expansion strategies Market research Sales planning and execution
QA Analyst,Progressive,Brazzaville,$59K-$103K,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review"
HR Manager,Next plc,Tokyo,$61K-$123K,Strategic HR planning Employee relations Talent management HR policy development Leadership skills
Customer Support Specialist,Advanced Micro Devices,Tarawa,$61K-$94K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Veterinarian,Commercial Metals,Sarajevo,$63K-$108K,Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail
Physical Therapist,Deutsche Bank AG,Nuku?alofa,$63K-$125K,Orthopedic assessment and treatment Rehabilitation exercises Patient education
Project Coordinator,Williams,Santiago,$64K-$89K,Project planning and scheduling Budget management Risk assessment and mitigation Stakeholder communication Agile or Waterfall methodologies
Marketing Director,The Coca-Cola Company,Tarawa,$56K-$129K,Digital marketing strategy Marketing analytics Team leadership Content marketing SEO and SEM proficiency
Administrative Assistant,Adobe,Tokyo,$55K-$123K,"Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency"
Procurement Specialist,United Breweries (UB),Buenos Aires,$58K-$98K,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management
Landscape Designer,Keurig Dr Pepper Inc.,Ljubljana,$55K-$122K,Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management
Account Executive,Next plc,Kuala Lumpur,$58K-$86K,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge
Purchasing Agent,Taylor Morrison Home,Juba,$59K-$127K,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination
Litigation Attorney,Dollar Tree,Guatemala City,$58K-$83K,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing
Aerospace Engineer,Parker-Hannifin,Bishkek,$62K-$117K,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations"
Pharmaceutical Sales Representative,Baidu,Buenos Aires,$57K-$96K,Sales techniques and strategies Relationship building CRM software usage Product knowledge Negotiation and closing skills
Customer Support Specialist,HF Sinclair,Male,$64K-$126K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Human Resources Manager,The Walt Disney Company,Addis Ababa,$64K-$122K,Talent sourcing Interviewing Onboarding Recruitment strategies HR software
Graphic Designer,Celanese,Bratislava,$63K-$81K,"User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design"
Software Engineer,Yum China Holdings,Phnom Penh,$61K-$108K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Network Engineer,Union Pacific,Pretoria,$59K-$116K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
